time;Intake temp.          ;Throttle pos.                     ;Injection time             ;Vehicle speed       ;Coolant temp.     ;Lambdaintegrator 1                 ;Lambdaintegrator 2                 ;Air mass                     ;Load                         ;Current RPM                 ;Target RPM               ;Engine temp.               ;Pedal pos.                  ;Battery voltage                         ;camshaft position bank 1;camshaft position bank 2;Ignition angle              ;Knock sensor Cyl.1;Knock sensor Cyl.2;Knock sensor Cyl.3;Knock sensor Cyl.4;Knock sensor Cyl.5;Knock sensor Cyl.6;Knock sensor Cyl.7;Knock sensor Cyl.8
5808;38.25;3.52944;4.256;0;31.5;0.999424;0.999424;22.1;6.03951;655.5;650;54;0.781248;13.395;1.4898;-0.0858;-1.5;0.898426;0.937488;0.859364;0.859364;1.01561;1.24998;0.859364;0.937488
5948;38.25;3.9216;4.224;0;31.5;0.999424;0.999424;21.8;6.05019;653.25;650;54;0.781248;13.775;1.5522;0.0858;-1.5;0.937488;0.97655;0.898426;0.859364;1.05467;1.21092;0.859364;0.898426
6088;38.25;3.9216;4.224;0;31.5;0.999424;0.999424;22.3;6.05935;650.25;650;54;0.786131;13.87;1.2051;0.0741;-1.5;0.898426;0.97655;0.859364;0.859364;1.05467;1.21092;0.859364;0.859364
6229;38.25;3.52944;4.24;0;31.5;0.999424;0.999424;21.5;6.35843;641;650;54;0.786131;13.775;-0.1716;0.2769;-0.75;0.859364;0.937488;0.820302;0.898426;1.09374;1.24998;0.820302;0.898426
6367;38.25;3.52944;4.256;0;31.5;0.999424;0.999424;22;6.37979;644.75;650;54;0.781248;13.775;-0.0624;0.039;-1.5;0.859364;0.937488;0.820302;0.898426;1.05467;1.21092;0.859364;0.859364
6834;38.25;3.52944;4.256;0;31.5;0.999424;0.999424;21.5;6.86502;638;650;54;0.786131;13.395;-0.5382;0.1326;0;0.820302;0.97655;0.859364;0.937488;1.09374;1.28905;0.820302;0.898426
6967;38.25;3.52944;4.272;0;31.5;0.999424;0.999424;21.8;6.46371;645;650;54;0.781248;13.775;-0.2808;0.1521;-1.5;0.820302;0.937488;0.78124;0.859364;1.1328;1.36717;0.859364;0.937488
7137;38.25;3.52944;4.288;0;31.5;0.999424;0.999424;22.1;6.49423;646.25;650;54;0.781248;13.87;0.0936;0.3393;-1.5;0.859364;0.97655;0.820302;0.859364;1.17186;1.32811;0.820302;0.97655
7520;38.25;3.52944;4.304;0;31.5;0.999424;0.999424;22.2;6.72006;640;650;54;0.781248;13.775;-0.663;0.0702;-0.75;0.859364;0.97655;0.859364;0.859364;1.1328;1.28905;0.820302;0.97655
8516;37.5;3.52944;4.272;0;31.5;0.999424;0.999424;21.9;6.70786;640;650;54;0.781248;13.87;-0.0468;-0.3003;-0.75;0.859364;0.97655;0.78124;0.859364;1.05467;1.21092;0.820302;0.937488
9306;37.5;3.52944;4.288;0;31.5;0.999424;0.999424;21.8;6.54611;644.5;650;54;0.786131;13.965;-0.2262;-0.039;-1.5;0.820302;0.97655;0.859364;0.859364;1.09374;1.1328;0.78124;0.937488
9486;37.5;3.9216;4.304;0;31.5;0.999424;0.999424;22.2;6.54611;647.75;650;54;0.786131;13.775;0.4914;-0.039;-1.5;0.78124;0.97655;0.898426;0.898426;1.09374;1.09374;0.820302;0.97655
9627;37.5;3.52944;4.304;0;31.5;0.999424;0.999424;22.3;6.75211;642.5;650;54;0.781248;13.87;0.6123;-0.3003;-0.75;0.820302;1.01561;0.859364;0.898426;1.09374;1.1328;0.78124;1.01561
9766;37.5;3.9216;4.304;0;31.5;0.999424;0.999424;21.9;6.54611;647.25;650;54;0.781248;13.87;0.2184;0.1833;-1.5;0.859364;0.97655;0.859364;0.898426;1.09374;1.09374;0.820302;0.97655
9930;37.5;3.52944;4.336;0;31.5;0.999424;0.999424;22;6.53543;650.5;650;54;0.781248;13.395;0.0936;0.0702;-1.5;0.859364;0.97655;0.820302;0.859364;1.1328;1.1328;0.820302;0.97655
10066;37.5;3.9216;4.288;0;31.5;0.999424;0.999424;21.9;6.52475;650.5;650;54;0.781248;13.87;0.897;0.0078;-1.5;0.820302;0.937488;0.859364;0.859364;1.17186;1.17186;0.78124;0.937488
10205;37.5;3.9216;4.288;0;31.5;0.999424;0.999424;22.2;6.21957;652;650;54;0.781248;13.965;0.8931;0.2106;-1.5;0.78124;0.97655;0.898426;0.859364;1.17186;1.17186;0.78124;0.97655
10626;37.5;3.9216;4.256;0;31.5;0.999424;0.999424;22;6.18905;669;650;54;0.781248;13.87;1.4274;-0.117;-1.5;0.859364;0.97655;0.898426;0.859364;1.1328;1.17186;0.820302;1.05467
11084;37.5;3.9216;4.256;0;31.5;0.999424;0.999424;22.4;6.1387;656.75;650;54;0.781248;13.87;-0.078;-0.0819;-1.5;0.898426;0.937488;0.859364;0.859364;1.1328;1.09374;0.859364;0.937488
11746;37.5;3.9216;4.24;0;31.5;0.999424;0.999424;21.7;6.12039;655.75;650;54;0.781248;13.775;0.3744;-0.1482;-1.5;0.859364;0.937488;0.820302;0.820302;1.1328;1.09374;0.859364;0.937488
11936;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.4;6.44235;644.25;650;54;0.786131;13.87;0.0936;-0.1794;-1.5;0.859364;1.01561;0.820302;0.898426;1.17186;0.97655;0.820302;0.97655
12105;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.5;6.66513;643.75;650;54;0.781248;13.87;-0.3744;0.039;-1.5;0.859364;1.01561;0.859364;0.898426;1.1328;0.937488;0.820302;0.97655
12265;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.1;6.86502;638.75;650;54;0.781248;13.68;-0.507;0.0078;0;0.859364;0.97655;0.898426;0.898426;1.17186;0.97655;0.898426;0.97655
12405;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.5;6.42099;645.25;650;54;0.781248;13.965;-0.5421;-0.1014;-1.5;0.898426;1.01561;0.859364;0.898426;1.17186;0.97655;0.898426;1.01561
12584;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.7;6.44235;647.25;650;54;0.786131;13.87;-0.3588;0.2769;-1.5;0.859364;1.01561;0.859364;0.898426;1.1328;1.01561;0.937488;1.01561
13066;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.8;6.41183;648.75;650;54;0.781248;13.775;0.4056;-0.2106;-1.5;0.820302;1.05467;0.859364;0.898426;1.1328;1.05467;0.898426;0.97655
13251;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;22;6.63309;641;650;54;0.781248;13.87;1.1466;-0.273;-0.75;0.820302;1.01561;0.898426;0.859364;1.17186;1.05467;0.898426;0.97655
13454;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.3;6.65445;644.75;650;54;0.781248;13.965;-0.5382;0.0078;-0.75;0.859364;1.05467;0.937488;0.898426;1.21092;1.05467;0.898426;0.937488
13604;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.6;6.44235;646.5;650;54;0.781248;13.87;-0.3744;0.1014;-1.5;0.859364;1.01561;0.898426;0.937488;1.17186;1.01561;0.859364;0.937488
13784;37.5;3.52944;4.24;0;31.5;0.999424;0.999424;21.5;6.66513;643.75;650;54;0.781248;13.965;0.0936;0.0702;-0.75;0.898426;1.01561;0.937488;0.898426;1.1328;0.97655;0.859364;0.97655
13924;37.5;3.52944;4.288;0;31.5;0.999424;0.999424;21.7;6.44235;648;650;54.75;0.786131;13.585;0.8034;-0.039;-1.5;0.937488;0.97655;0.898426;0.937488;1.09374;1.01561;0.820302;0.97655
14064;37.5;3.9216;4.272;0;31.5;0.999424;0.999424;22;6.46371;650.5;650;54.75;0.781248;13.87;0.6747;-0.1443;-1.5;0.898426;1.01561;0.937488;0.898426;1.09374;1.01561;0.820302;0.97655
14434;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.6;6.17837;653;650;54.75;0.786131;13.965;0.9555;0.0117;-1.5;0.898426;1.05467;0.859364;0.898426;1.01561;1.01561;0.859364;0.97655
14657;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.8;6.15853;652.75;650;54.75;0.781248;13.965;-0.1404;0.1209;-1.5;0.898426;1.01561;0.859364;0.898426;1.01561;1.05467;0.898426;0.97655
15054;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.9;6.42099;651.25;650;54.75;0.781248;13.87;1.3026;-0.0078;-1.5;0.898426;1.05467;0.97655;0.859364;1.1328;1.09374;0.859364;1.05467
15242;37.5;3.9216;4.272;0;31.5;0.999424;0.999424;22.2;6.43167;649.75;650;54.75;0.781248;13.965;1.365;0.117;-1.5;0.937488;1.01561;1.01561;0.898426;1.09374;1.05467;0.859364;1.01561
15456;37.5;3.52944;4.256;0;31.5;0.999424;0.999424;21.6;6.46371;647.5;650;54.75;0.781248;13.965;1.1739;0.1794;-1.5;0.898426;1.05467;1.05467;0.898426;1.09374;1.05467;0.859364;1.01561
